search URL:,https://patents.google.com/?country=CN&before=filing:20220104&after=filing:20220104&type=PATENT&sort=new
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-216934025-U,Based on traditional chinese medical science acupuncture cooperation fumigation apparatus ,绵竹市人民医院,汪玲,2022-01-04,2022-01-04,2022-07-12,2022-07-12,https://patents.google.com/patent/CN216934025U/en,https://patentimages.storage.googleapis.com/1c/04/80/63620fc52b72b8/HDA0003454688700000011.png
CN-216947170-U,Novel rotary sputtering target gun structure ,武汉普昊科技有限公司,周焱文,2022-01-04,2022-01-04,2022-07-12,2022-07-12,https://patents.google.com/patent/CN216947170U/en,https://patentimages.storage.googleapis.com/70/f2/fe/953c03762d8e93/HDA0003455587580000011.png
CN-114324549-A,Pulmonary tuberculosis risk assessment method and system based on exhaled gas mass spectrometry detection ,深圳市步锐生物科技有限公司,"陈海斌, 康军伟, 王东鉴, 李庆运",2022-01-04,2022-01-04,2022-04-12,,https://patents.google.com/patent/CN114324549A/en,https://patentimages.storage.googleapis.com/ba/67/48/20ba28b85fd428/HDA0003455177330000011.png
CN-217438321-U,Deposition apparatus is used in production of lead carbon combined material ,南京复元先进新材料研究院有限公司,"王文兴, 彭博, 余经纬",2022-01-04,2022-01-04,2022-09-16,2022-09-16,https://patents.google.com/patent/CN217438321U/en,https://patentimages.storage.googleapis.com/54/14/8e/3e2b61a8efa2c9/220104220341.png
CN-216755609-U,Purifier for sewage treatment ,清江中和建设(湖北)有限公司,"谭建国, 覃艳平, 秦晓",2022-01-04,2022-01-04,2022-06-17,2022-06-17,https://patents.google.com/patent/CN216755609U/en,https://patentimages.storage.googleapis.com/af/17/0e/cd61daa48a7ef7/HDA0003455271700000011.png
CN-216537266-U,A filter equipment for production of putty cream ,湖南好腻建材科技有限公司,程兴跃,2022-01-04,2022-01-04,2022-05-17,2022-05-17,https://patents.google.com/patent/CN216537266U/en,https://patentimages.storage.googleapis.com/b6/49/11/6489b22d4a3d80/HDA0003455550560000011.png
CN-216714449-U,Novel simple underground damper closing device ,黄珏,"黄珏, 王丹慧",2022-01-04,2022-01-04,2022-06-10,2022-06-10,https://patents.google.com/patent/CN216714449U/en,https://patentimages.storage.googleapis.com/4f/84/61/4d1e9d05e21d58/220104150255.png
CN-114355785-A,"Device control method and device, electronic device and readable storage medium ",南方科技大学,"罗涛, 郭皓月, 周心怡, 邓訸心, 赵子鼎, 郑曦瑶, 曹苏阳, 张宵临",2022-01-04,2022-01-04,2022-04-15,,https://patents.google.com/patent/CN114355785A/en,https://patentimages.storage.googleapis.com/41/35/99/d1b39e283c8079/HDA0003455605990000011.png
CN-217893503-U,Integration is to open packing carton ,深圳市鸿景泰海科技有限公司,詹巍,2022-01-04,2022-01-04,2022-11-25,2022-11-25,https://patents.google.com/patent/CN217893503U/en,https://patentimages.storage.googleapis.com/98/98/7f/71bd84c5660b7f/HDA0003455637440000011.png
CN-114097658-A,Intelligent clean illumination constant-temperature gosling brooding box ,宁波市农业科学研究院,"陈淑芳, 宋佳巍, 贾惠言, 胡行峰, 陈文杰, 鲍嘉盛, 林聿衡",2022-01-04,2022-01-04,2022-03-01,,https://patents.google.com/patent/CN114097658A/en,https://patentimages.storage.googleapis.com/1f/ae/34/76fd7c440215e0/HDA0003454152840000011.png
CN-114338014-B,"Safety reporting method, device and system for environmental supervision and law enforcement ",内蒙古汉尔信息科技有限公司,张云瑞,2022-01-04,2022-01-04,2023-03-24,2023-03-24,https://patents.google.com/patent/CN114338014B/en,https://patentimages.storage.googleapis.com/08/c0/34/1e4dea4e9db199/HDA0003455585430000031.png
CN-216785719-U,Cryogenic liquid linkage fills dress system ,上海沪辰自动化系统工程有限公司,"周贵, 时海清, 霍晓光, 刘侠, 胡琼洁",2022-01-04,2022-01-04,2022-06-21,2022-06-21,https://patents.google.com/patent/CN216785719U/en,https://patentimages.storage.googleapis.com/fa/73/66/a8423d5c0d7195/HDA0003455399500000011.png
CN-216906194-U,Mango is planted and is used protection device ,陈秀琼,陈秀琼,2022-01-04,2022-01-04,2022-07-08,2022-07-08,https://patents.google.com/patent/CN216906194U/en,https://patentimages.storage.googleapis.com/7d/89/c7/8547f533661acf/HDA0003454145310000011.png
CN-216881950-U,Continuous cutting device that beats is prevented to aluminium alloy ,佛山市昌艺铝制品有限公司,"钟冠林, 杨厂文",2022-01-04,2022-01-04,2022-07-05,2022-07-05,https://patents.google.com/patent/CN216881950U/en,https://patentimages.storage.googleapis.com/ad/13/f5/365c8ccb75c074/HDA0003454645480000011.png
CN-114311538-A,Controllable injection mold of flower line ,河北听涛化工产品销售有限公司,范宏杰,2022-01-04,2022-01-04,2022-04-12,,https://patents.google.com/patent/CN114311538A/en,https://patentimages.storage.googleapis.com/17/33/24/d8dd01010f1fd6/HDA0003455016100000011.png
CN-114345632-A,Roof roofing rubber coating device ,浙江明伦新材料科技有限公司,何建明,2022-01-04,2022-01-04,2022-04-15,,https://patents.google.com/patent/CN114345632A/en,https://patentimages.storage.googleapis.com/05/63/08/72c6df64f849ea/HDA0003454249400000011.png
CN-217442684-U,Digital sound level meter with mounting structure ,山东北方检测技术有限公司,"张小龙, 于波, 尚绪伟",2022-01-04,2022-01-04,2022-09-16,2022-09-16,https://patents.google.com/patent/CN217442684U/en,https://patentimages.storage.googleapis.com/dc/ae/84/fc42da23286acd/HDA0003454693590000011.png
CN-114002110-B,Device and method for monitoring material looseness of jigger ,中煤科工能源科技发展有限公司,"曹牧, 富强, 李磊, 杨洋, 刘宁宁, 池津维, 姚再兴, 曹克楠, 刘堉杉, 高升, 张力元",2022-01-04,2022-01-04,2022-11-15,2022-11-15,https://patents.google.com/patent/CN114002110B/en,https://patentimages.storage.googleapis.com/b5/f6/b8/239f68a6dd4b46/211230105923.png
CN-114345569-A,Circulating cyclone separator ,颍上米克斯压力容器有限公司,"张磊, 丁志勇",2022-01-04,2022-01-04,2022-04-15,,https://patents.google.com/patent/CN114345569A/en,https://patentimages.storage.googleapis.com/8f/87/7a/3a172983ab1296/HDA0003454616920000021.png
CN-217029222-U,"Silencing cotton assembly, compressor and air conditioner outdoor unit ","广东美的制冷设备有限公司, 美的集团股份有限公司",梁健巧,2022-01-04,2022-01-04,2022-07-22,2022-07-22,https://patents.google.com/patent/CN217029222U/en,https://patentimages.storage.googleapis.com/e3/07/c2/80014efb4f4501/HDA0003455569160000011.png
CN-217453582-U,Foam assembling mechanism ,歌尔股份有限公司,"孙奉阳, 杜秀亮, 管西刚, 李建坤",2022-01-04,2022-01-04,2022-09-20,2022-09-20,https://patents.google.com/patent/CN217453582U/en,https://patentimages.storage.googleapis.com/ab/c9/60/985699b97b4605/HDA0003455593510000011.png
CN-114184088-A,Riot shield system ,广州市野潍安防科技发展有限公司,何球飞,2022-01-04,2022-01-04,2022-03-15,,https://patents.google.com/patent/CN114184088A/en,https://patentimages.storage.googleapis.com/fd/a5/78/fd5363c451440d/HDA0003455607290000011.png
CN-217252532-U,Forging equipment with clamping mechanism for bearing ring production ,临清市普丰轴承有限公司,相晓东,2022-01-04,2022-01-04,2022-08-23,2022-08-23,https://patents.google.com/patent/CN217252532U/en,https://patentimages.storage.googleapis.com/2f/2b/e3/db75574911a5ba/HDA0003455657110000011.png
CN-216576758-U,Sawing device for machining radiator ,新乡市散热器有限公司,"易中山, 曹泽武, 张帆",2022-01-04,2022-01-04,2022-05-24,2022-05-24,https://patents.google.com/patent/CN216576758U/en,https://patentimages.storage.googleapis.com/d0/77/e3/817d63e442015b/HDA0003454061630000011.png
CN-217400518-U,Electric power line changes engineering with pole root anchor board ,山东得胜电力股份有限公司,"张铮, 孙天辉, 李香丽, 逯德胜, 王晓, 任兴云, 李广亮, 周鹏举",2022-01-04,2022-01-04,2022-09-09,2022-09-09,https://patents.google.com/patent/CN217400518U/en,https://patentimages.storage.googleapis.com/54/38/82/be1c10222ee3a5/HDA0003454749480000011.png
CN-114317826-A,"MNP primer composition of human herpesvirus 7 type, kit and application thereof ",江汉大学,"高利芬, 陈利红, 李甜甜, 周俊飞, 肖华峰, 万人静",2022-01-04,2022-01-04,2022-04-12,,https://patents.google.com/patent/CN114317826A/en,
CN-114405871-A,Automatic sorting device for camellia seeds ,湖北工业大学,"段宇飞, 王焱清, 孙记委",2022-01-04,2022-01-04,2022-04-29,,https://patents.google.com/patent/CN114405871A/en,https://patentimages.storage.googleapis.com/d9/0f/6d/4b0a506784a2cf/HDA0003454888280000011.png
CN-216933752-U,Sleeping trousers with quick-drying effect ,广东娜菲实业股份有限公司,周雪峰,2022-01-04,2022-01-04,2022-07-12,2022-07-12,https://patents.google.com/patent/CN216933752U/en,https://patentimages.storage.googleapis.com/15/6c/35/8da6691e6772ba/HDA0003454689910000011.png
CN-217373193-U,Mold frame accurate in positioning ,佛山市南海斯耐迪精密机械有限公司,"李绍濠, 马耀正, 李敏瑜",2022-01-04,2022-01-04,2022-09-06,2022-09-06,https://patents.google.com/patent/CN217373193U/en,https://patentimages.storage.googleapis.com/9a/4b/f2/10dd2ee14c9553/HDA0003455588550000011.png
CN-216474002-U,Automotive carpet multilayer oven production line ,"广州市精欣机电有限公司, 重庆广精欣科技有限公司","张尚琴, 黄文斑",2022-01-04,2022-01-04,2022-05-10,2022-05-10,https://patents.google.com/patent/CN216474002U/en,https://patentimages.storage.googleapis.com/ae/58/9c/cd9806a41e7b79/HDA0003455346370000011.png
CN-114454371-A,Scribing device for diode production and processing with high working efficiency ,深圳希尔芯科技有限公司,"邓华鲜, 颜磊",2022-01-04,2022-01-04,2022-05-10,,https://patents.google.com/patent/CN114454371A/en,https://patentimages.storage.googleapis.com/ad/44/84/d51eacce089af0/HDA0003454957150000011.png
CN-114260321-A,Method for improving stability of standard sample box of thickness gauge ,新疆八一钢铁股份有限公司,"李硕怡, 苗劲蓬, 邓卜齐",2022-01-04,2022-01-04,2022-04-01,,https://patents.google.com/patent/CN114260321A/en,https://patentimages.storage.googleapis.com/d5/82/58/686d6f833b5cfd/220104193350.png
CN-114427598-A,Method and device for evaluating lubrication state of each position of gearbox and vehicle ,中国重汽集团济南动力有限公司,"朱元宸, 闫书法, 时迎刚, 张永刚, 胡凯, 任福臣",2022-01-04,2022-01-04,2022-05-03,,https://patents.google.com/patent/CN114427598A/en,https://patentimages.storage.googleapis.com/0e/91/65/20735f96168bb0/HDA0003454647560000011.png
CN-216842599-U,Special-shaped bolt ,捷固金属制品(太仓)有限公司,范俊德,2022-01-04,2022-01-04,2022-06-28,2022-06-28,https://patents.google.com/patent/CN216842599U/en,https://patentimages.storage.googleapis.com/be/c7/7a/1f7db97f5375bc/HDA0003455117060000011.png
CN-216703797-U,Dust fall sprinkler for municipal works ,河南永坤水利建筑工程有限公司,"朱永伟, 杜丽丽, 李文文, 王鹏毅, 雷金璐, 宋晓鹏, 张振听, 吴金伟, 耿亮亮, 丁晨阳",2022-01-04,2022-01-04,2022-06-10,2022-06-10,https://patents.google.com/patent/CN216703797U/en,https://patentimages.storage.googleapis.com/7b/4b/47/52de7af88cc802/HDA0003454990030000011.png
CN-114024041-A,Platform circulation supply type lamination production line and circulation lamination process thereof ,深圳市兴禾自动化股份有限公司,"唐延弟, 周贤文, 宾兴, 刘成, 徐骏",2022-01-04,2022-01-04,2022-02-08,,https://patents.google.com/patent/CN114024041A/en,https://patentimages.storage.googleapis.com/2c/59/ba/5dc28323fac999/211221154930.png
CN-217273324-U,Full-color transparent LED display screen ,深圳市晟世光电科技有限公司,仇国瑞,2022-01-04,2022-01-04,2022-08-23,2022-08-23,https://patents.google.com/patent/CN217273324U/en,https://patentimages.storage.googleapis.com/b3/79/87/f17575a4f513b6/HDA0003455647700000011.png
CN-217459091-U,Device for electrochemically treating desulfurization wastewater ,中冶南方都市环保工程技术股份有限公司,"汪远, 邵雁, 郭华军, 刘子豪, 皮鎏, 姜明明, 覃慧, 杨振, 刘颖, 许晓明, 熊劲",2022-01-04,2022-01-04,2022-09-20,2022-09-20,https://patents.google.com/patent/CN217459091U/en,https://patentimages.storage.googleapis.com/61/16/34/c9a66281f2b8f2/HDA0003454898380000011.png
CN-216919040-U,High-strength laminated glass ,宿迁澳中玻璃股份有限公司,何志权,2022-01-04,2022-01-04,2022-07-08,2022-07-08,https://patents.google.com/patent/CN216919040U/en,https://patentimages.storage.googleapis.com/c4/4e/37/3d8a953301d1d1/HDA0003454075030000011.png
CN-217333198-U,Data display terminal ,沈阳神链数字科技有限公司,"王海军, 于雷",2022-01-04,2022-01-04,2022-08-30,2022-08-30,https://patents.google.com/patent/CN217333198U/en,https://patentimages.storage.googleapis.com/5e/42/00/e47dd2667f8885/HDA0003454994010000011.png
CN-216799075-U,Gear machining welds cigarette clarifier with arm telescopic of breathing in with blind spot ,江苏兴利达齿轮有限公司,"解健, 周凌",2022-01-04,2022-01-04,2022-06-24,2022-06-24,https://patents.google.com/patent/CN216799075U/en,https://patentimages.storage.googleapis.com/7b/2a/51/6d07894ea92e2a/HDA0003454152930000011.png
CN-216482036-U,Improved drying device ,上海赛冲机械制造有限公司,"王海涛, 张立龙, 张宝伟, 潘红兵",2022-01-04,2022-01-04,2022-05-10,2022-05-10,https://patents.google.com/patent/CN216482036U/en,https://patentimages.storage.googleapis.com/20/d4/47/6afdeda3db72c4/220104151900.png
CN-217350192-U,Flax fiber treatment facility of high degree of polymerization ,湖州南浔善琏盛业纺织有限公司,"许炳荣, 刘平, 张树斌",2022-01-04,2022-01-04,2022-09-02,2022-09-02,https://patents.google.com/patent/CN217350192U/en,https://patentimages.storage.googleapis.com/2a/57/98/724e98438efa4f/HDA0003454134020000011.png
CN-216496682-U,Rapid fumigation and disinfection nursing equipment for medical instruments ,赵明信,"赵明信, 车绥元, 李庚�, 安文昊",2022-01-04,2022-01-04,2022-05-13,2022-05-13,https://patents.google.com/patent/CN216496682U/en,https://patentimages.storage.googleapis.com/fc/bd/11/071dedfaf1f9fd/HDA0003454256360000011.png
CN-217469553-U,Wireless charging structure for cleaning machine ,佛山市匠魂厨卫科技有限公司,梁鑫鸿,2022-01-04,2022-01-04,2022-09-20,2022-09-20,https://patents.google.com/patent/CN217469553U/en,https://patentimages.storage.googleapis.com/3d/04/21/d5916bce509090/220104114729.png
CN-216706673-U,Digit control machine tool shock mount ,江苏昊雄智能装备有限公司,丁仕贤,2022-01-04,2022-01-04,2022-06-10,2022-06-10,https://patents.google.com/patent/CN216706673U/en,https://patentimages.storage.googleapis.com/a9/bb/b1/8efe916fca826f/HDA0003454796720000011.png
CN-114314524-A,Method for improving synthesis yield by utilizing synthesis energy of thionyl chloride ,安徽金轩科技有限公司,"张永亮, 常业坤, 张鑫, 仇兆山",2022-01-04,2022-01-04,2022-04-12,,https://patents.google.com/patent/CN114314524A/en,https://patentimages.storage.googleapis.com/ba/b3/05/1065774887f9d5/HDA0003454086710000011.png
CN-216950987-U,Fan soft connection for low-noise centrifugal fan ,江西省瑞格厨具有限公司,袁坤,2022-01-04,2022-01-04,2022-07-12,2022-07-12,https://patents.google.com/patent/CN216950987U/en,https://patentimages.storage.googleapis.com/6d/db/cc/9f2cc29a6f2909/HDA0003455494130000011.png
CN-114337228-A,Air conditioner controller ,杭州先途电子有限公司,"吕勇松, 李桐",2021-10-25,2022-01-04,2022-04-12,,https://patents.google.com/patent/CN114337228A/en,https://patentimages.storage.googleapis.com/81/d9/d4/1193d9127fee50/HDA0003454126400000011.png
